triple,url,Results,qid
"Douglas Adams, date of death, 11/05/2001",https://www.locusmag.com/2001/News/News05a.html,"                                            sentence TextEntailment  \
0  Locus Online News: Douglas Adams dies MAY Stok...       SUPPORTS   
1  Other works included novels Dirk Gently's Holi...        REFUTES   
2  He's survived by wife Jane Belson, and their d...        REFUTES   
3  Adams was British-born and lived near London u...        REFUTES   
4  Sequels were The Restaurant at the End of the ...        REFUTES   

   Entailment_score  Relevance_score  
0          0.842583         0.996974  
1          0.545149         0.027934  
2          0.752016         0.024627  
3          0.866674        -0.121959  
4          0.432555        -0.204862  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://www.wired.com/2012/03/i-miss-douglas-adams/,"                                            sentence TextEntailment  \
0  Most of all, I miss [] Douglas Noel Adams (11 ...       SUPPORTS   
1  It has been eleven years since he died at the ...        REFUTES   
2  I only met Douglas Adams twice, both times bri...        REFUTES   
3  Today Douglas Adams' family, friends, and admi...        REFUTES   
4  His last posthumous book, The Salmon of Doubt ...        REFUTES   

   Entailment_score  Relevance_score  
0          0.539233        -0.820869  
1          0.641604        -0.902942  
2          0.945950        -0.986009  
3          0.910089        -0.992575  
4          0.922995        -0.995554  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://www.wired.com/2012/03/i-miss-douglas-adams/,"                                            sentence TextEntailment  \
0  It has been eleven years since he died at the ...        REFUTES   
1  Today Douglas Adams' family, friends, and admi...       SUPPORTS   
2  In my 20s, I also started listening in The Lon...       SUPPORTS   
3  Most of all, I miss [] Douglas Noel Adams (11 ...        REFUTES   
4  His last posthumous book, The Salmon of Doubt ...       SUPPORTS   

   Entailment_score  Relevance_score  
0          0.723989         0.279698  
1          0.623982         0.017108  
2          0.930341        -0.159996  
3          0.634582        -0.173869  
4          0.891296        -0.269703  ",Q42
"Douglas Adams, occupation, science fiction writer",https://catalogue.bnf.fr/ark:/12148/cb11888092r,"                                            sentence   TextEntailment  \
0  Historique Mon panier Tout Gallica Haut-de-jar...  NOT ENOUGH INFO   
1                Ajouter vos notices et les classer.  NOT ENOUGH INFO   
2  Notices bibliographiques liees Voir les notice...  NOT ENOUGH INFO   
3                  Voir vos achats de reproductions.  NOT ENOUGH INFO   
4  Identifiant de la notice : ark:/12148/cb118880...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.890372        -0.255207  
1          0.865648        -0.998272  
2          0.813031        -0.998528  
3          0.794699        -0.998861  
4          0.826169        -0.998908  ",Q42
"Douglas Adams, nominated for, Hugo Award for Best Dramatic Presentation",https://www.thehugoawards.org/hugo-history/1979-hugo-awards/,"                                            sentence   TextEntailment  \
0  Hugo Award FAQ Ask a Question Contact Us Media...  NOT ENOUGH INFO   
1  To find out more, including how to control coo...  NOT ENOUGH INFO   
2  by David Langford Best Fan Writer Bob Shaw Ric...  NOT ENOUGH INFO   
3  1979 Hugo Awards | The Hugo Award Skip to cont...  NOT ENOUGH INFO   
4  Archives Archives Select Month May 2024 April ...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.959281         0.038683  
1          0.949517        -0.988304  
2          0.859285        -0.997406  
3          0.958741        -0.997548  
4          0.804697        -0.999054  ",Q42
"Douglas Adams, eye color, brown",https://bookstr.com/article/life-the-universe-and-everything-happy-birthday-douglas-adams/,"                      sentence   TextEntailment  Entailment_score  \
0  Error: HTTP status code 403  NOT ENOUGH INFO           0.63711   

   Relevance_score  
0         -0.99987  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://www.munzinger.de/search/go/document.jsp?id=00000020676,"                                            sentence   TextEntailment  \
0  Geburtstag: Edgar Morin , *8.7.1921 Paris, fra...  NOT ENOUGH INFO   
1  Todestag: Charles Conrad jr. , *2.6.1930 Phila...          REFUTES   
2  Geburtstag: David E. Lilienthal , *8.7.1899 Mo...          REFUTES   
3  Todestag: Chlodwig Poth , *4.4.1930 Wuppertal,...          REFUTES   
4  Endpreis Summe 10.97 13.05 Adams, Douglas; bri...          REFUTES   

   Entailment_score  Relevance_score  
0          0.630912        -0.975184  
1          0.930352        -0.991052  
2          0.913211        -0.991963  
3          0.968788        -0.995498  
4          0.941634        -0.996137  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://www.munzinger.de/search/go/document.jsp?id=00000020676,"                                            sentence   TextEntailment  \
0  ""Traumhochzeit"" , ""The Winner is ..."" 2012; au...  NOT ENOUGH INFO   
1  Geburtstag: Edgar Morin , *8.7.1921 Paris, fra...  NOT ENOUGH INFO   
2  Endpreis Summe 10.97 13.05 Adams, Douglas; bri...          REFUTES   
3  Todestag: Chlodwig Poth , *4.4.1930 Wuppertal,...  NOT ENOUGH INFO   
4  Todestag: Charles Conrad jr. , *2.6.1930 Phila...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.690158        -0.512381  
1          0.756831        -0.523230  
2          0.747101        -0.616685  
3          0.600799        -0.777446  
4          0.732820        -0.891523  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://www.svenskfilmdatabas.se/sv/item/?type=person&itemid=271209,"                                            sentence   TextEntailment  \
0  Douglas Adams - SFdb Svensk Filmdatabas EN Sve...  NOT ENOUGH INFO   
1  Fodd Douglas Noel Adamsi Cambridge, Cambridges...          REFUTES   
2  Fodd Douglas Noel Adamsi Cambridge, Cambridges...          REFUTES   
3  Insatser Manus Liftarens guide till galaxen (2...          REFUTES   
4  Las mer om Svenska Filminstitutet Sociala medi...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.880945        -0.615264  
1          0.777094        -0.690805  
2          0.824948        -0.690805  
3          0.824948        -0.998868  
4          0.558834        -0.999349  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://www.svenskfilmdatabas.se/sv/item/?type=person&itemid=271209,"                                            sentence   TextEntailment  \
0  Douglas Adams - SFdb Svensk Filmdatabas EN Sve...  NOT ENOUGH INFO   
1  Fodd Douglas Noel Adamsi Cambridge, Cambridges...  NOT ENOUGH INFO   
2  Fodd Douglas Noel Adamsi Cambridge, Cambridges...         SUPPORTS   
3  Insatser Manus Liftarens guide till galaxen (2...  NOT ENOUGH INFO   
4  Las mer om Svenska Filminstitutet Sociala medi...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.852812         0.102677  
1          0.828224        -0.287075  
2          0.436518        -0.287075  
3          0.444902        -0.548033  
4          0.690706        -0.984670  ",Q42
"Douglas Adams, genre, comedy",https://www.theguardian.com/books/2013/mar/11/douglas-adams-king-comic-science-fiction,"                                            sentence   TextEntailment  \
0  His books passed the Bovis test with flying co...         SUPPORTS   
1  Douglas Adams is still the king of comic scien...  NOT ENOUGH INFO   
2  But my money is on Neil Gaiman (who coauthored...  NOT ENOUGH INFO   
3  That's where so many fall down when trying to ...         SUPPORTS   
4  Adams ultimately succeeded in mining a very ra...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.790624        -0.092387  
1          0.530520        -0.508037  
2          0.851660        -0.900918  
3          0.713190        -0.906452  
4          0.859373        -0.963593  ",Q42
"Douglas Adams, occupation, musician",https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=jn19990000029,"                                            sentence   TextEntailment  \
0  cislo jn19990000029 Zahlavi Adams, Douglas, Vi...  NOT ENOUGH INFO   
1  AUT - Uplne zobrazeni zaznamu Databaze Narodni...  NOT ENOUGH INFO   
2                                                16.  NOT ENOUGH INFO   
3                                                16.  NOT ENOUGH INFO   
4  2019 Autority SVK Kladno NKC Dalsi informace W...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.781471        -0.966881  
1          0.496794        -0.999314  
2          0.632204        -0.999716  
3          0.934650        -0.999716  
4          0.934650        -0.999732  ",Q42
"Douglas Adams, languages spoken, written or signed, English",https://aleph.nkp.cz/F/?func=find-c&local_base=aut&ccl_term=ica=jn19990000029,"                                            sentence   TextEntailment  \
0  cislo jn19990000029 Zahlavi Adams, Douglas, Vi...  NOT ENOUGH INFO   
1  AUT - Uplne zobrazeni zaznamu Databaze Narodni...  NOT ENOUGH INFO   
2                                                16.  NOT ENOUGH INFO   
3                                                16.  NOT ENOUGH INFO   
4                                                 7.  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.923342        -0.563807  
1          0.883807        -0.928246  
2          0.882361        -0.997570  
3          0.882361        -0.997570  
4          0.780099        -0.997989  ",Q42
"Douglas Adams, date of death, 11/05/2001",http://www.nytimes.com/2001/05/15/arts/douglas-adams-49-author-of-hitchhiker-s-guide-spoofs.html,"                      sentence TextEntailment  Entailment_score  \
0  Error: HTTP status code 403        REFUTES          0.755718   

   Relevance_score  
0        -0.999722  ",Q42
"Douglas Adams, ethnic group, White British",https://www.nndb.com/people/731/000023662/,"                                            sentence   TextEntailment  \
0  Born in 1952, Adams attended Brentwood School ...  NOT ENOUGH INFO   
1  1994) University: BA English Literature, St Jo...  NOT ENOUGH INFO   
2  At Cambridge he worked with friend Griff Rhys ...  NOT ENOUGH INFO   
3  Douglas Adams This is a beta version of NNDB S...  NOT ENOUGH INFO   
4  After graduation he worked as a radio and tele...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.966562        -0.085072  
1          0.965785        -0.355847  
2          0.931032        -0.620579  
3          0.974330        -0.767132  
4          0.966211        -0.799987  ",Q42
"Douglas Adams, sex or gender, male",https://www.idref.fr/026677636,"                                            sentence   TextEntailment  \
0  Adams, Douglas () Controle Paprika data.idref ...         SUPPORTS   
1  I, Le guide du voyageur galactique / Douglas A...  NOT ENOUGH INFO   
2  Il est surtout connu pour\nson uvre ""Le guide ...  NOT ENOUGH INFO   
3  Adams, Douglas () paprika.idref.fr data.idref....         SUPPORTS   
4  IdRef est a la disposition des usagers profess...         SUPPORTS   

   Entailment_score  Relevance_score  
0          0.548638        -0.990498  
1          0.735475        -0.993297  
2          0.558659        -0.995179  
3          0.965231        -0.999561  
4          0.835913        -0.999711  ",Q42
"Douglas Adams, country of citizenship, United Kingdom",https://www.idref.fr/026677636,"                                            sentence   TextEntailment  \
0  I, Le guide du voyageur galactique / Douglas A...  NOT ENOUGH INFO   
1  Adams, Douglas () Controle Paprika data.idref ...  NOT ENOUGH INFO   
2  Il est surtout connu pour\nson uvre ""Le guide ...  NOT ENOUGH INFO   
3  Adams, Douglas () paprika.idref.fr data.idref....  NOT ENOUGH INFO   
4  ... References liees: ... IdRef - Identifiants...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.914072        -0.903091  
1          0.917732        -0.983848  
2          0.787470        -0.999371  
3          0.952059        -0.999745  
4          0.938959        -0.999798  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://brockhaus.de/ecs/enzy/article/adams-douglas-noel,"                                            sentence TextEntailment  \
0  Douglas Noel Adams - Enzyklopadie - Brockhaus....        REFUTES   
1    Auch interessant Impressum Datenschutzerklarung        REFUTES   
2           Starten Sie Ihren kostenlosen Test hier.        REFUTES   

   Entailment_score  Relevance_score  
0          0.608628        -0.999669  
1          0.957810        -0.999812  
2          0.953984        -0.999828  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://brockhaus.de/ecs/enzy/article/adams-douglas-noel,"                                            sentence   TextEntailment  \
0  Douglas Noel Adams - Enzyklopadie - Brockhaus....  NOT ENOUGH INFO   
1           Starten Sie Ihren kostenlosen Test hier.          REFUTES   
2    Auch interessant Impressum Datenschutzerklarung          REFUTES   

   Entailment_score  Relevance_score  
0          0.777676        -0.997285  
1          0.593446        -0.999627  
2          0.606079        -0.999728  ",Q42
"Douglas Adams, manner of death, natural causes",https://web.archive.org/web/20111010233102/http://www.laweekly.com/2001-05-24/news/lots-of-screamingly-funny-sentences-no-fish/,"                                            sentence   TextEntailment  \
0  And on Friday, May 11, he suffered a heart att...          REFUTES   
1                He died later at Cottage Hospital .          REFUTES   
2  --So Long, and Thanks for All the Fish, 1985 N...          REFUTES   
3  Most Popular Stories Glen Hartford's Hollywood...  NOT ENOUGH INFO   
4              Douglas Adams had turned 49 in March.          REFUTES   

   Entailment_score  Relevance_score  
0          0.965321         0.999891  
1          0.967160         0.963470  
2          0.973724        -0.263439  
3          0.710132        -0.451777  
4          0.879173        -0.497953  ",Q42
"Douglas Adams, place of death, Santa Barbara",http://www.nytimes.com/books/01/05/13/daily/adams-obit.html,"                                            sentence   TextEntailment  \
0  The British-born Adams died Friday of an appar...         SUPPORTS   
1  The Associated Press Science fiction writer Do...  NOT ENOUGH INFO   
2  The couple, who had lived in Santa Barbara sin...  NOT ENOUGH INFO   
3  Adams is also survived by his mother, Jan Thri...         SUPPORTS   
4  Douglas Adams, Author of 'Hitchhiker's Guide t...         SUPPORTS   

   Entailment_score  Relevance_score  
0          0.946957         0.999883  
1          0.946932         0.053783  
2          0.983860        -0.008264  
3          0.976051        -0.022947  
4          0.906636        -0.159566  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://catalogue.bnf.fr/ark:/12148/cb11888092r,"                                            sentence   TextEntailment  \
0  Historique Mon panier Tout Gallica Haut-de-jar...  NOT ENOUGH INFO   
1  Source(s): Un Cheval dans la salle de bains / ...  NOT ENOUGH INFO   
2  Notices bibliographiques liees Voir les notice...  NOT ENOUGH INFO   
3  Notice de personne ""Adams, Douglas ()"" | BnF C...          REFUTES   
4  Identifiant de la notice : ark:/12148/cb118880...          REFUTES   

   Entailment_score  Relevance_score  
0          0.788816        -0.974094  
1          0.729375        -0.999202  
2          0.654024        -0.999374  
3          0.950070        -0.999402  
4          0.929057        -0.999568  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://catalogue.bnf.fr/ark:/12148/cb11888092r,"                                            sentence   TextEntailment  \
0  Historique Mon panier Tout Gallica Haut-de-jar...  NOT ENOUGH INFO   
1  Source(s): Un Cheval dans la salle de bains / ...  NOT ENOUGH INFO   
2  Notice de personne ""Adams, Douglas ()"" | BnF C...          REFUTES   
3  Notices bibliographiques liees Voir les notice...  NOT ENOUGH INFO   
4  Identifiant de la notice : ark:/12148/cb118880...         SUPPORTS   

   Entailment_score  Relevance_score  
0          0.729277        -0.151060  
1          0.706206        -0.850509  
2          0.570275        -0.980568  
3          0.730787        -0.981510  
4          0.424094        -0.986339  ",Q42
"Douglas Adams, cause of death, myocardial infarction",http://www.telegraph.co.uk/news/uknews/1330072/Hitch-Hikers-Guide-author-Douglas-Adams-dies-aged-49.html,"                                            sentence   TextEntailment  \
0  He collapsed on Friday while exercising at a g...          REFUTES   
1  Adams, 6ft 5in tall and well built, did not ha...          REFUTES   
2  Search by postcode Lost Tory seats Next Tory l...          REFUTES   
3  However, say friends, he had visited the docto...  NOT ENOUGH INFO   
4  He married Jane Belson, a barrister, in 1991 a...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.796731         0.544018  
1          0.785216         0.076565  
2          0.599514        -0.338053  
3          0.615288        -0.542136  
4          0.637316        -0.557459  ",Q42
"Douglas Adams, date of death, 11/05/2001",http://nilf.it/10014,"                                            sentence   TextEntailment  \
0  Sito ospitato da Fantascienza.com Il catalogo ...          REFUTES   
1  Il Catalogo della Letteratura Fantastica e ded...          REFUTES   
2  Puoi consultarlo, utilizzarlo, copiare dati e ...  NOT ENOUGH INFO   
3  Un certo numero di titoli di collezionismo, ar...  NOT ENOUGH INFO   
4  Questo catalogo e un'opera collettiva della Gi...          REFUTES   

   Entailment_score  Relevance_score  
0          0.638391        -0.926871  
1          0.588440        -0.990540  
2          0.677439        -0.991583  
3          0.664950        -0.993934  
4          0.370410        -0.995039  ",Q42
"Douglas Adams, educated at, St John's College",http://www.nndb.com/people/731/000023662/,"                                            sentence   TextEntailment  \
0  Born in 1952, Adams attended Brentwood School ...         SUPPORTS   
1  In 1974, Adams graduated from Cambridge with a...  NOT ENOUGH INFO   
2  1994) University: BA English Literature, St Jo...         SUPPORTS   
3  At Cambridge he worked with friend Griff Rhys ...  NOT ENOUGH INFO   
4  After graduation he worked as a radio and tele...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.986604         0.999912  
1          0.873104         0.988619  
2          0.911111         0.267367  
3          0.927052         0.179328  
4          0.864746        -0.020943  ",Q42
"Douglas Adams, genre, satire",https://www.theguardian.com/commentisfree/2015/aug/07/hitchhikers-guide-galaxy-book-changed-me-vogons-economics,"                                            sentence   TextEntailment  \
0  And only the comic genius of Adams could have ...  NOT ENOUGH INFO   
1  The bit in which Arthur Dent and Ford Prefect ...  NOT ENOUGH INFO   
2  The Hitchhiker's Guide taught me about satire,...  NOT ENOUGH INFO   
3  But what fascinated me even more was how H2G2 ...  NOT ENOUGH INFO   
4  Photograph: BBC A book that changed me Douglas...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.962249        -0.209410  
1          0.948815        -0.343980  
2          0.951967        -0.420482  
3          0.930954        -0.430829  
4          0.955023        -0.665752  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://d-nb.info/gnd/119033364,"                                            sentence   TextEntailment  \
0  Zeit Lebensdaten: Land Grobritannien (XA-GB); ...  NOT ENOUGH INFO   
1  Book a Librarian Ergebnis der Suche nach: nid=...  NOT ENOUGH INFO   
2  - Ludwigsburg : Cross Cult, 2020 Per Anhalter ...  NOT ENOUGH INFO   
3                                               Lit.          REFUTES   
4                                               Lex.          REFUTES   

   Entailment_score  Relevance_score  
0          0.890529        -0.996064  
1          0.848302        -0.997571  
2          0.844759        -0.998936  
3          0.890764        -0.999193  
4          0.811038        -0.999436  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://d-nb.info/gnd/119033364,"                                            sentence   TextEntailment  \
0  - Ludwigsburg : Cross Cult, 2020 Per Anhalter ...  NOT ENOUGH INFO   
1  Zeit Lebensdaten: Land Grobritannien (XA-GB); ...  NOT ENOUGH INFO   
2  Book a Librarian Ergebnis der Suche nach: nid=...  NOT ENOUGH INFO   
3                                               Lex.  NOT ENOUGH INFO   
4  - Leipzig : Deutsche Nationalbibliothek, 2020 ...          REFUTES   

   Entailment_score  Relevance_score  
0          0.861811        -0.688873  
1          0.938499        -0.783567  
2          0.831349        -0.953516  
3          0.550730        -0.987914  
4          0.468690        -0.997683  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://www.babelio.com/auteur/wd/2627,"                                            sentence   TextEntailment  \
0  Douglas Adams - Babelio fermer Accueil Mes liv...  NOT ENOUGH INFO   
1  En 1979, Douglas Adams publie le premier tome ...  NOT ENOUGH INFO   
2  + Voir plus Ajouter des informations Ajouter u...  NOT ENOUGH INFO   
3  Commenter J'apprecie 38 0 leluez 07 juillet 20...          REFUTES   
4  Commenter J'apprecie 33 0 Integrer blog Achete...          REFUTES   

   Entailment_score  Relevance_score  
0          0.659407        -0.559824  
1          0.858955        -0.840053  
2          0.699105        -0.915408  
3          0.955154        -0.968345  
4          0.941657        -0.985201  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://www.babelio.com/auteur/wd/2627,"                                            sentence   TextEntailment  \
0  Douglas Adams - Babelio fermer Accueil Mes liv...  NOT ENOUGH INFO   
1  Commenter J'apprecie 54 1 leluez 23 juillet 20...  NOT ENOUGH INFO   
2  + Voir plus Ajouter des informations Ajouter u...          REFUTES   
3  Commenter J'apprecie 38 0 leluez 07 juillet 20...  NOT ENOUGH INFO   
4  Commenter J'apprecie 39 0 Allisonline 05 mai 2...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.709032         0.045043  
1          0.787656        -0.026731  
2          0.710972        -0.039465  
3          0.881083        -0.040116  
4          0.804197        -0.062112  ",Q42
"Douglas Adams, instance of, human",https://catalogue.bnf.fr/ark:/12148/cb11888092r,"                                            sentence   TextEntailment  \
0  Historique Mon panier Tout Gallica Haut-de-jar...         SUPPORTS   
1                Ajouter vos notices et les classer.         SUPPORTS   
2  Source(s): Un Cheval dans la salle de bains / ...         SUPPORTS   
3  Notice de personne ""Adams, Douglas ()"" | BnF C...  NOT ENOUGH INFO   
4  Notices bibliographiques liees Voir les notice...         SUPPORTS   

   Entailment_score  Relevance_score  
0          0.733348        -0.978711  
1          0.779574        -0.998286  
2          0.939190        -0.999197  
3          0.539147        -0.999219  
4          0.927122        -0.999349  ",Q42
"Douglas Adams, sex or gender, male",https://catalogue.bnf.fr/ark:/12148/cb11888092r,"                                            sentence TextEntailment  \
0  Historique Mon panier Tout Gallica Haut-de-jar...       SUPPORTS   
1                Ajouter vos notices et les classer.       SUPPORTS   
2                  Voir vos achats de reproductions.       SUPPORTS   
3  Notice de personne ""Adams, Douglas ()"" | BnF C...       SUPPORTS   
4  Notices bibliographiques liees Voir les notice...       SUPPORTS   

   Entailment_score  Relevance_score  
0          0.650420        -0.581775  
1          0.702278        -0.999241  
2          0.965692        -0.999464  
3          0.972083        -0.999498  
4          0.666992        -0.999634  ",Q42
"Douglas Adams, country of citizenship, United Kingdom",https://catalogue.bnf.fr/ark:/12148/cb11888092r,"                                            sentence   TextEntailment  \
0  Historique Mon panier Tout Gallica Haut-de-jar...  NOT ENOUGH INFO   
1  Notice de personne ""Adams, Douglas ()"" | BnF C...  NOT ENOUGH INFO   
2  Source(s): Un Cheval dans la salle de bains / ...  NOT ENOUGH INFO   
3  Notices bibliographiques liees Voir les notice...  NOT ENOUGH INFO   
4                Ajouter vos notices et les classer.  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.896585        -0.994552  
1          0.908482        -0.999545  
2          0.809613        -0.999654  
3          0.861896        -0.999656  
4          0.869765        -0.999658  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://snaccooperative.org/ark:/99166/w65h7md1,"                                            sentence   TextEntailment  \
0  person Place Name Admin Code Country Connectic...  NOT ENOUGH INFO   
1  El restaurante del Fin del Mundo [archivo de c...  NOT ENOUGH INFO   
2  Dirk Gently Agencia Investigaciones Holisticas...          REFUTES   
3  Guia del autoestopista galactico [archivo de c...          REFUTES   
4  La vida, el universo y todo lo demas [recurso ...          REFUTES   

   Entailment_score  Relevance_score  
0          0.809981        -0.277414  
1          0.658336        -0.858907  
2          0.851362        -0.935077  
3          0.790841        -0.967668  
4          0.963427        -0.976420  ",Q42
